"LBDB12SI.Code.or.Value","LBDB12SI.Value.Description","LBDB12SI.Count","LBDB12SI.Cumulative","LBDB12SI.Skip.to.Item"
"27.31 to 177562.06","Range of Values",8390,8390,NA
".","Missing",1539,9929,NA
