"RHQ305.Code.or.Value","RHQ305.Value.Description","RHQ305.Count","RHQ305.Cumulative","RHQ305.Skip.to.Item"
"1","Yes",304,304,""
"2","No",2297,2601,"RHQ420"
"7","Refused",0,2601,"RHQ420"
"9","Don't know",20,2621,"RHQ420"
".","Missing",997,3618,""
