"DR2IP182.Code.or.Value","DR2IP182.Value.Description","DR2IP182.Count","DR2IP182.Cumulative","DR2IP182.Skip.to.Item"
"0 to 102.006","Range of Values",111494,111494,NA
".","Missing",607,112101,NA
