"AUDTYR20.Code.or.Value","AUDTYR20.Value.Description","AUDTYR20.Count","AUDTYR20.Cumulative","AUDTYR20.Skip.to.Item"
"0 to 1.97","Range of Values",1890,1890,NA
".","Missing",156,2046,NA
