"TBQ022.Code.or.Value","TBQ022.Value.Description","TBQ022.Count","TBQ022.Cumulative","TBQ022.Skip.to.Item"
"1","Yes",341,341,NA
"2","No",3627,3968,NA
"7","Refused",1,3969,NA
"9","Don't know",36,4005,NA
".","Missing",4156,8161,NA
