"TYXP029.Code.or.Value","TYXP029.Value.Description","TYXP029.Count","TYXP029.Cumulative","TYXP029.Skip.to.Item"
"-5 to 195","Range of Values",8469,8469,NA
".","Missing",0,8469,NA
