"MCQ050.Code.or.Value","MCQ050.Value.Description","MCQ050.Count","MCQ050.Cumulative","MCQ050.Skip.to.Item"
"1","Yes",153,153,NA
"2","No",282,435,NA
"7","Refused",0,435,NA
"9","Don't know",1,436,NA
".","Missing",10034,10470,NA
