"ALQ120Q.Code.or.Value","ALQ120Q.Value.Description","ALQ120Q.Count","ALQ120Q.Cumulative","ALQ120Q.Skip.to.Item"
"0 to 365","Range of Values",3894,3894,NA
"777","Refused",0,3894,NA
"999","Don't know",2,3896,NA
".","Missing",1131,5027,NA
