"DXXRABMD.Code.or.Value","DXXRABMD.Value.Description","DXXRABMD.Count","DXXRABMD.Cumulative","DXXRABMD.Skip.to.Item"
"0.318 to 1.264","Range of Values",4973,4973,NA
".","Missing",807,5780,NA
