"LBXSGL.Code.or.Value","LBXSGL.Value.Description","LBXSGL.Count","LBXSGL.Cumulative","LBXSGL.Skip.to.Item"
"31 to 617","Range of Values",5976,5976,NA
".","Missing",573,6549,NA
