"VTQ230A.Code.or.Value","VTQ230A.Value.Description","VTQ230A.Count","VTQ230A.Cumulative","VTQ230A.Skip.to.Item"
"1","Yes",1677,1677,NA
"2","No",1537,3214,NA
"7","Refused",0,3214,NA
"9","Don't know",28,3242,NA
".","Missing",303,3545,NA
