"URXBPM.Code.or.Value","URXBPM.Value.Description","URXBPM.Count","URXBPM.Cumulative","URXBPM.Skip.to.Item"
"0.85 to 727","Range of Values",2396,2396,NA
".","Missing",155,2551,NA
