"DR2TP225.Code.or.Value","DR2TP225.Value.Description","DR2TP225.Count","DR2TP225.Cumulative","DR2TP225.Skip.to.Item"
"0 to 1.087","Range of Values",7453,7453,NA
".","Missing",2360,9813,NA
