"AUXLR228.Code.or.Value","AUXLR228.Value.Description","AUXLR228.Count","AUXLR228.Cumulative","AUXLR228.Skip.to.Item"
"-41 to 62","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
