"CBQ525.Code.or.Value","CBQ525.Value.Description","CBQ525.Count","CBQ525.Cumulative","CBQ525.Skip.to.Item"
"1","Yes",3535,3535,NA
"2","No",975,4510,NA
"7","Refused",0,4510,NA
"9","Don't know",6,4516,NA
".","Missing",1883,6399,NA
