"TBXRUVES.Code.or.Value","TBXRUVES.Value.Description","TBXRUVES.Count","TBXRUVES.Cumulative","TBXRUVES.Skip.to.Item"
"1","Present",10,10,NA
"2","Absent",6068,6078,NA
"8","Could not obtain",49,6127,NA
".","Missing",1694,7821,NA
