"RFXT020.Code.or.Value","RFXT020.Value.Description","RFXT020.Count","RFXT020.Cumulative","RFXT020.Skip.to.Item"
"159 to 168","Range of Values",33711,33711,NA
".","Missing",10,33721,NA
