"LBDUIBSI.Code.or.Value","LBDUIBSI.Value.Description","LBDUIBSI.Count","LBDUIBSI.Cumulative","LBDUIBSI.Skip.to.Item"
"0.18 to 107.82","Range of Values",5899,5899,NA
".","Missing",502,6401,NA
