"AUDTYL35.Code.or.Value","AUDTYL35.Value.Description","AUDTYL35.Count","AUDTYL35.Cumulative","AUDTYL35.Skip.to.Item"
"0 to 2.75","Range of Values",2154,2154,NA
".","Missing",214,2368,NA
