"DXXIMY.Code.or.Value","DXXIMY.Value.Description","DXXIMY.Count","DXXIMY.Cumulative","DXXIMY.Skip.to.Item"
"112.7 to 342.8","Range of Values",3293,3293,NA
".","Missing",415,3708,NA
