"FSD032F.Code.or.Value","FSD032F.Value.Description","FSD032F.Count","FSD032F.Cumulative","FSD032F.Skip.to.Item"
"1","Often true",97,97,NA
"2","Sometimes true",326,423,NA
"3","Never true",6295,6718,NA
"7","Refused",13,6731,NA
"9","Don't know",19,6750,NA
".","Missing",3787,10537,NA
