"DXXPT79X.Code.or.Value","DXXPT79X.Value.Description","DXXPT79X.Count","DXXPT79X.Cumulative","DXXPT79X.Skip.to.Item"
"576.2 to 1154.9","Range of Values",3263,3263,NA
".","Missing",445,3708,NA
