"GTDDR2MN.Code.or.Value","GTDDR2MN.Value.Description","GTDDR2MN.Count","GTDDR2MN.Cumulative","GTDDR2MN.Skip.to.Item"
"71 to 141","Range of Values",2581,2581,NA
".","Missing",582,3163,NA
