"DR1IFDCD.Code.or.Value","DR1IFDCD.Value.Description","DR1IFDCD.Count","DR1IFDCD.Cumulative","DR1IFDCD.Skip.to.Item"
"11000000 to 94210100","Range of Values",131164,131164,NA
".","Missing",0,131164,NA
