"LBX8AL.Code.or.Value","LBX8AL.Value.Description","LBX8AL.Count","LBX8AL.Cumulative","LBX8AL.Skip.to.Item"
"0.467 to 3.61","Range of Values",1456,1456,NA
".","Missing",868,2324,NA
