"OPDUHOLL.Code.or.Value","OPDUHOLL.Value.Description","OPDUHOLL.Count","OPDUHOLL.Cumulative","OPDUHOLL.Skip.to.Item"
"0","No",2460,2460,NA
"1","Questionable",6,2466,NA
"2","Yes",10,2476,NA
".","Missing",458,2934,NA
