"PAQ724l.Code.or.Value","PAQ724l.Value.Description","PAQ724l.Count","PAQ724l.Cumulative","PAQ724l.Skip.to.Item"
"12","ICE HOCKEY",4,4,NA
".","Missing",9251,9255,NA
