"WTSCI16.Code.or.Value","WTSCI16.Value.Description","WTSCI16.Count","WTSCI16.Cumulative","WTSCI16.Skip.to.Item"
"0 to 472197.06016","Range of Values",727,727,NA
".","Missing",51,778,NA
