"WBXF033.Code.or.Value","WBXF033.Value.Description","WBXF033.Count","WBXF033.Cumulative","WBXF033.Skip.to.Item"
"943.8743 to 943.8743","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
