"RFXC147.Code.or.Value","RFXC147.Value.Description","RFXC147.Count","RFXC147.Cumulative","RFXC147.Skip.to.Item"
"-6.653 to 7.899","Range of Values",33672,33672,NA
".","Missing",49,33721,NA
