"AUXLR242.Code.or.Value","AUXLR242.Value.Description","AUXLR242.Count","AUXLR242.Cumulative","AUXLR242.Skip.to.Item"
"-17 to 57","Range of Values",1883,1883,NA
".","Missing",163,2046,NA
