"AUXLR104.Code.or.Value","AUXLR104.Value.Description","AUXLR104.Count","AUXLR104.Cumulative","AUXLR104.Skip.to.Item"
"-86 to 83","Range of Values",1774,1774,NA
".","Missing",115,1889,NA
