"AUXLR252.Code.or.Value","AUXLR252.Value.Description","AUXLR252.Count","AUXLR252.Cumulative","AUXLR252.Skip.to.Item"
"-24 to 39","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
