"CIQD100.Code.or.Value","CIQD100.Value.Description","CIQD100.Count","CIQD100.Cumulative","CIQD100.Skip.to.Item"
"0 to 100","Range of Values",68,68,NA
"777","Refuse",0,68,NA
"999","Don't know",4,72,NA
".","Missing",706,778,NA
