"LBDHDDSI.Code.or.Value","LBDHDDSI.Value.Description","LBDHDDSI.Count","LBDHDDSI.Cumulative","LBDHDDSI.Skip.to.Item"
"0.18 to 4.01","Range of Values",7387,7387,NA
".","Missing",745,8132,NA
