"PUD040.Code.or.Value","PUD040.Value.Description","PUD040.Count","PUD040.Cumulative","PUD040.Skip.to.Item"
"1","Yes",6689,6689,""
"2","No",4176,10865,"End of Section"
".","Missing",174,11039,""
