"URDSCNLC.Code.or.Value","URDSCNLC.Value.Description","URDSCNLC.Count","URDSCNLC.Cumulative","URDSCNLC.Skip.to.Item"
"0","At or above the detection limit",3003,3003,NA
"1","Below lower detection limit",2,3005,NA
".","Missing",274,3279,NA
