"DR2_320Z.Code.or.Value","DR2_320Z.Value.Description","DR2_320Z.Count","DR2_320Z.Cumulative","DR2_320Z.Skip.to.Item"
"0 to 11376","Range of Values",8429,8429,NA
".","Missing",1521,9950,NA
