"AUXLR175.Code.or.Value","AUXLR175.Value.Description","AUXLR175.Count","AUXLR175.Cumulative","AUXLR175.Skip.to.Item"
"-8 to 40","Range of Values",2152,2152,NA
".","Missing",216,2368,NA
