"BPQ059.Code.or.Value","BPQ059.Value.Description","BPQ059.Count","BPQ059.Cumulative","BPQ059.Skip.to.Item"
"1","Yes",791,791,NA
"2","No",5379,6170,NA
"7","Refused",1,6171,NA
"9","Don't know",3,6174,NA
".","Missing",1,6175,NA
