"SMDANY.Code.or.Value","SMDANY.Value.Description","SMDANY.Count","SMDANY.Cumulative","SMDANY.Skip.to.Item"
"1","Yes",1410,1410,NA
"2","No",5018,6428,NA
"7","Refused",0,6428,NA
"9","Don't know",0,6428,NA
".","Missing",551,6979,NA
