"AUXLR129.Code.or.Value","AUXLR129.Value.Description","AUXLR129.Count","AUXLR129.Cumulative","AUXLR129.Skip.to.Item"
"-57 to 55","Range of Values",2754,2754,NA
".","Missing",280,3034,NA
