"LBDLHSI.Code.or.Value","LBDLHSI.Value.Description","LBDLHSI.Count","LBDLHSI.Cumulative","LBDLHSI.Skip.to.Item"
"0.1 to 126.51","Range of Values",951,951,NA
".","Missing",6494,7445,NA
