"BPQ150C.Code.or.Value","BPQ150C.Value.Description","BPQ150C.Count","BPQ150C.Cumulative","BPQ150C.Skip.to.Item"
"1","Yes",16,16,NA
"2","No",7387,7403,NA
".","Missing",2240,9643,NA
