"URXTRP2.Code.or.Value","URXTRP2.Value.Description","URXTRP2.Count","URXTRP2.Cumulative","URXTRP2.Skip.to.Item"
"0.45 to 9.04","Range of Values",2571,2571,NA
".","Missing",184,2755,NA
