"HSQ500.Code.or.Value","HSQ500.Value.Description","HSQ500.Count","HSQ500.Cumulative","HSQ500.Skip.to.Item"
"1","Yes",1996,1996,NA
"2","No",6717,8713,NA
"7","Refused",1,8714,NA
"9","Don't know",19,8733,NA
".","Missing",707,9440,NA
