"SSNPFOSL.Code.or.Value","SSNPFOSL.Value.Description","SSNPFOSL.Count","SSNPFOSL.Cumulative","SSNPFOSL.Skip.to.Item"
"0","At or above the detection limit",525,525,NA
"1","Below lower detection limit",0,525,NA
".","Missing",0,525,NA
