"DR1IRET.Code.or.Value","DR1IRET.Value.Description","DR1IRET.Count","DR1IRET.Cumulative","DR1IRET.Skip.to.Item"
"0 to 9656","Range of Values",130698,130698,NA
".","Missing",696,131394,NA
