"DR1TTHEO.Code.or.Value","DR1TTHEO.Value.Description","DR1TTHEO.Count","DR1TTHEO.Cumulative","DR1TTHEO.Skip.to.Item"
"0 to 955","Range of Values",9169,9169,NA
".","Missing",781,9950,NA
