"DR1ITHEO.Code.or.Value","DR1ITHEO.Value.Description","DR1ITHEO.Count","DR1ITHEO.Cumulative","DR1ITHEO.Skip.to.Item"
"0 to 946","Range of Values",145826,145826,NA
".","Missing",1114,146940,NA
