"RHQ450.Code.or.Value","RHQ450.Value.Description","RHQ450.Count","RHQ450.Cumulative","RHQ450.Skip.to.Item"
"10 to 53","Range of Values",1405,1405,NA
"777","Refused",0,1405,NA
"999","Don't know",14,1419,NA
".","Missing",2446,3865,NA
