"WTIREP14.Code.or.Value","WTIREP14.Value.Description","WTIREP14.Count","WTIREP14.Cumulative","WTIREP14.Skip.to.Item"
"0 to 242715.02986","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
