"LBCPDTLA.Code.or.Value","LBCPDTLA.Value.Description","LBCPDTLA.Count","LBCPDTLA.Cumulative","LBCPDTLA.Skip.to.Item"
"0.7071 to 578.2","Range of Values",301,301,NA
".","Missing",0,301,NA
