"DR1TCARB.Code.or.Value","DR1TCARB.Value.Description","DR1TCARB.Count","DR1TCARB.Cumulative","DR1TCARB.Skip.to.Item"
"0 to 1650.7","Range of Values",9118,9118,NA
".","Missing",644,9762,NA
