"WTSPP4YR.Code.or.Value","WTSPP4YR.Value.Description","WTSPP4YR.Count","WTSPP4YR.Cumulative","WTSPP4YR.Skip.to.Item"
"2191.0694892 to 343500.60404","Range of Values",1998,1998,NA
"0","Non-Respondent",127,2125,NA
".","Missing",0,2125,NA
