"BIXS009K.Code.or.Value","BIXS009K.Value.Description","BIXS009K.Count","BIXS009K.Cumulative","BIXS009K.Skip.to.Item"
"287.85 to 1047.84","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
