"AUXRR257.Code.or.Value","AUXRR257.Value.Description","AUXRR257.Count","AUXRR257.Cumulative","AUXRR257.Skip.to.Item"
"-10 to 61","Range of Values",3836,3836,NA
".","Missing",664,4500,NA
