"DXXL4BMD.Code.or.Value","DXXL4BMD.Value.Description","DXXL4BMD.Count","DXXL4BMD.Cumulative","DXXL4BMD.Skip.to.Item"
"0.417 to 1.777","Range of Values",6037,6037,NA
".","Missing",1683,7720,NA
