"OSQ150.Code.or.Value","OSQ150.Value.Description","OSQ150.Count","OSQ150.Cumulative","OSQ150.Skip.to.Item"
"1","Yes",594,594,""
"2","No",5054,5648,"OSQ170"
"7","Refused",1,5649,"OSQ170"
"9","Don't know",286,5935,"OSQ170"
".","Missing",0,5935,""
