"WHD120.Code.or.Value","WHD120.Value.Description","WHD120.Count","WHD120.Cumulative","WHD120.Skip.to.Item"
"50 to 400","Range of Values",4227,4227,NA
"7777","Refused",2,4229,NA
"9999","Don't know",90,4319,NA
".","Missing",1894,6213,NA
