"LBXHCT.Code.or.Value","LBXHCT.Value.Description","LBXHCT.Count","LBXHCT.Cumulative","LBXHCT.Skip.to.Item"
"21.8 to 59.1","Range of Values",8117,8117,NA
".","Missing",1048,9165,NA
