"DS2TCOPP.Code.or.Value","DS2TCOPP.Value.Description","DS2TCOPP.Count","DS2TCOPP.Cumulative","DS2TCOPP.Skip.to.Item"
"0.001 to 15","Range of Values",1152,1152,NA
".","Missing",8186,9338,NA
