"DS2TSELE.Code.or.Value","DS2TSELE.Value.Description","DS2TSELE.Count","DS2TSELE.Cumulative","DS2TSELE.Skip.to.Item"
"1 to 452.5","Range of Values",820,820,NA
".","Missing",7884,8704,NA
