"SMQ785.Code.or.Value","SMQ785.Value.Description","SMQ785.Count","SMQ785.Cumulative","SMQ785.Skip.to.Item"
"1","Today",34,34,NA
"2","Yesterday",52,86,NA
"3","3 to 5 days ago",55,141,NA
"7","Refused",0,141,NA
"9","Don't know",0,141,NA
".","Missing",6839,6980,NA
